Tweet,Emojiset
"RT Pigmalion000001: @simoncoveney @dfatirl A useful distraction for you Simon. 🤔 First BREXIT, then COVID-19 now a European war. 97 untimely deaths in #IrishAirCorps toxic chemical exposure tragedy. 37 extra deaths since you were made aware in 2015 #97dead #DelayDenyDie https://t.co/RMHq0hUNro",🤔
"@OGlobo_Rio Calma gente, quarta-feira a Covid-19 estará de volta! 🤡",🤡
rYUJIN Q PAGALING KA :(((( ang bebe ko huhuhuhu taena mo covid anong karapatan mong dapuan ang bebe ko eh hindi ko nga yan pinapadapuan ng lamok 😡😡😡😡😡😡,😡😡😡😡😡😡
"RT RonaldA66363029: #26Feb #JornadaDeVacunación💉| Si aún no te has vacunado contra la COVID-19 o no tienes las dosis completas, acude al Centro de Salud más cercano. ¡Sabemos cómo hacerlo! ¡Cuidémonos! #FANB #GNB #GNBCONAS https://t.co/xSeLLd3R8e",💉
RT everton251277: Oh dear 💉💉 https://t.co/IyhG89zWLs,💉💉
"RT IpsfaL: 😷#COVID_19 #PREVENCIÓN😷| Cuidarnos es tarea de todos, no bajemos la guardia #27FRebeliónVictoriosa #14Brigada #Venezuela https://t.co/vsWdYGUPAt","😷,😷"
"@Jules12101 I'm taking a step back for a few days, I can't deal with this 'muh Zelensky' crap and the histrionics, it's COVID all over again, they've learnt jack shit. Whatever they get told to think, they think it 🤦‍♂️",🤦‍♂️
"RT MrsRoboto10: Remember when The Experts™️ had a meltdown about @GovRonDeSantis suggesting to only get tested for COVID if you feel symptoms & @FLSurgeonGen for “unwinding testing psychology” with Florida’s updated guidance? That was a month ago. Now, the CDC caught up 😁 Experts…? https://t.co/idSnJWR4Eo","™️,😁"
RT lovedlwlrma16: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
RT henrysandrine9: 🛑SOS médecins de France👉votre ministre @olivierveran a menti devant l’assemblée nationale👉en affirmant que le vaccin Covid n’a pas de lien avec la maladie de la vache folle👉la preuve constat huissier rapport EMA👉aidez moi! Déclarez les cas CDJ #Mauricette @verity_france https://t.co/ItPqEg0ThE,"🛑,👉,👉,👉,👉"
"RT al17212: LEMBREM-SE 🇧🇷 648.989 MORTES COVID e só temos essa informação graças aos veículos de imprensa. Lembrem-se, o chefe do executivo proibiu a divulgação; negou PANDEMIA; atrasou compra de vacinas; negou isolamento; satirizou os mortos; DIVULGOU FAKES....estamos em GUERRA😡🇧🇷🚩","🇧🇷,😡🇧🇷🚩"
"RT TKmonkeyo: Look at her last night, how come?!? Like?? Wtf covid. 😭😤 #GetWellSoonRyujin https://t.co/cTdygM312j",😭😤
"Να ρωτήσω… Τελειώσαμε με covid και τη λοιμωξιολογία και πιάσαμε ανάλυση διπλωματίας και πολέμους; Τσάμπα διαβάζω τόσο καιρό για να πω την αποψάρα μου για Όμικρον, 5G, Bill Gates και flat earth;;; 🤷‍♂️",🤷‍♂️
"@Patriote66 Qui vivra verra, il paraît que Poutine est gentil, comme le Covid,une gripette qui 😂🤣😂🤣",😂🤣😂🤣
@Sim_Leu @Cheri3031 @Softball237 @mmason20 @KingdomEarper @BreanneDodds @Brenfasa @Lj_e4l @JeanAllen13 @Lilie0411 well-w covid times a lot of people have embraced the gray 🤠 #WynonnaEarp #BringWynonnaHome,🤠
RT keqpinks: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
@Georgia11490004 I know love. Covid has changed a great deal of opinions for the better. 😘,😘
"RT TamKingHei1: A protest in Hong Kong🇭🇰against war in Ukraine🇺🇦amid tight covid & demonstration restrictions, that’s why protesters were standing alone, one by one. “I’m Russian I’m against war” “This crime against humanity has no justifications” Photos courtesy Egor Lyfar in Hong Kong. https://t.co/7buOEHU2Gz","🇭🇰,🇺🇦"
"RT lavinialq17: LEMBREM-SE 🇧🇷 648.989 MORTES COVID e só temos essa informação graças aos veículos de imprensa. Lembrem-se, o chefe do executivo proibiu a divulgação; negou PANDEMIA; atrasou compra de vacinas; negou isolamento; satirizou os mortos; DIVULGOU FAKES....estamos em GUERRA😡🇧🇷🚩","🇧🇷,😡🇧🇷🚩"
RT ruesbe: 🇪🇸 La bandera de todos recuerda cada semana a las víctimas del Covid en España. 💚 Que este recuerdo nos obligue a mantener viva la lucha en busca de respuestas sobre la gestión de la pandemia. ❌ Demasiadas mentiras y negligencias culpables. #GobiernoResponsable #NoMasMentiras https://t.co/0QIstDqiAA,"🇪🇸,💚,❌"
RT DieterFink5: Wie viele Kinder und Erwachsene müssen noch an den Covid #Impfungen erkranken und versterben bis es zum #Impfstopp kommt ? ‼️,‼️
"🏘️ Open Houses on Sunday 🏘️ ⏰ 1-3 PM: 163 Clark Drive 👉 https://t.co/L024Ycx88D ⏰ 2-4 PM: 250 23rd Street 👉 https://t.co/vgCBMUtEGU ⚠️ For your protection and ours, Covid-19 precautions will be in place at all public open houses and showings. Happy house hunting! https://t.co/RUc6k4gtOO","🏘️,🏘️,⏰,👉,⏰,👉,⚠️"
RT AtoMacky: ANO NAGAWA NI LENI SA COVID?! MAMA NICKI MINAJ BE PROUD 👏 https://t.co/Jix5luCI0N,👏
"Oh yung mga nagsasabing mas magaling si Yorme in terms of COVID efforts, this is how a leader does it ON A NATIONAL SCALE. 👀 #IpanaloNa10To https://t.co/szj3GOafC2",👀
"RT crypt0_bItlor7: Called covid, the riots, possible war and economic rug Here we are folks 👏",👏
"RT CarreroDiossely: #CuidaTuSalud🛡️| La COVID-19 es más transmisible en espacios cerrados y abarrotados en los que la ventilación es escasa o nula. Por tanto, para reducir el riesgo es fundamental garantizar una ventilación adecuada. ¡Sabemos cómo hacerlo! ¡Cuidémonos! #PuebloEnCarnavalesFelices https://t.co/dvpDikyT2U",🛡️
RT eyxxiji: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
"RT KLocherie: Meanwhile 🤡🤡Joey you’re hiding out in your basement ( command centre) North Korea fires ballistic missile, neighbours say Toe 2Toe With Putin. Lost Toe 2Toe With China Lost Toe 2Toe With Korea Lost Toe 2Toe With Covid Lost Toe 2Toe With Inflation Lost Many More LossesJoey https://t.co/GpBdqyulQ0",🤡🤡
RT jLvberi: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
i just moved then tested positive for covid-19😅,😅
RT SEUNGFLAMES: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
RT Sattarmohammed3: That one time my family got covid so i hotboxed my room🤣🤣🤣🤣 cuz they couldnt smell https://t.co/7VnEKQQq2A,🤣🤣🤣🤣
"@EsbenVest Jeg er nødt til at sige, at jeg ikke er overrasket. I de værste perioder af covid-19 her i DK havde sundhedsministeriet/myndighederne også lukket i weekenden. Også når der kom nye restriktioner og udmeldinger fredage klokken 16 🤷‍♂️🤯",🤷‍♂️🤯
RT GAGAMUHLACH: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
"Stres ya covid naek lagi, kalo udh stres jd latah belanja online, trus bingung barang2 nya mau dipake kemana, kan dirumah aja 🙃",🙃
"RT ccastelo1999: #JornadaDeVacunación💉| Si aún no te has vacunado contra la COVID-19 o no tienes las dosis completas, acude al Centro de Salud más cercano. ¡Sabemos cómo hacerlo! ¡Cuidémonos! #PuebloEnCarnavalesFelices https://t.co/O3HKGouURA",💉
"RT ProLifeClaire: Remember when The Experts™️ had a meltdown about @GovRonDeSantis suggesting to only get tested for COVID if you feel symptoms & @FLSurgeonGen for “unwinding testing psychology” with Florida’s updated guidance? That was a month ago. Now, the CDC caught up 😁 Experts…? https://t.co/idSnJWR4Eo","™️,😁"
RT mzflamboyant_: That one time my family got covid so i hotboxed my room🤣🤣🤣🤣 cuz they couldnt smell https://t.co/7VnEKQQq2A,🤣🤣🤣🤣
RT vinjameslopez: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
"RT AlladingerousTV: ✏️ Le dessin du jour, par @Aracrea405Ara : Olivier Véran, ambitieux pour l'après-covid, a des idées pour l'Ukraine et la Russie... https://t.co/2ArEXfHr3v",✏️
RT YungOG3nius: 📍MAGIC— we go from left map to right map in just 1 day!!! Hallelujah? ‘One day COVID will just disappear’ — never thought @CDCgov will gaslight us light this. @CDCDirector — what the heck are you doing? #CovidIsNotOver @kavitapmd is ex-Obama Health Policy director. Follow her. https://t.co/ZonWsKC6ek https://t.co/XrMa1Z85JO,📍
"RT faizalpahmee: Covid-19 in 🇸🇬 (27 Feb): In hospital: 1,553 (0) - O2: 214 (+2) - ICU: 46 (-4) New cases: 14,228 (total: 710,880) New deaths: 8 (total: 1,007) Week-on-week ratio: - Case: 1.14 (-0.07) - Severe case: 1.27 (-0.02) Dose 1/2/3: 92%/91%/67% https://t.co/M05ViaqZSz https://t.co/RRDecrYnd2",🇸🇬
"Gracias sr Ministro, pero todavía se ven ambulancias en nuestro conjunto y bajan a vestirse para el COVID, todavía anda entre nosotros. 🙏🙏🙏 https://t.co/Olf3pf3MzS",🙏🙏🙏
"RT papapa1970: 8.-➡️ Y no Antares Vázquez, no cumplieron su promesa de que esos 33,000 mdp serían para comprar vacunas para el Covid-19. En el presupuesto de egresos del 2021 no se etiquetaron los 33,000 mdp . O sea, se los robaron, malditas 🐭 asquerosas. 👇 https://t.co/UdDPbVJ2hH","➡️,🐭,👇"
Que levante la mano quien hasta ahora no se ha contagiado de COVID-19? 🙋🏽‍♀️,🙋🏽‍♀️
and should be addressed appropriately in a clinical context in addition to research projects. Thanks to @benking01 for his bravery in sharing his very important experience to raise awareness about these critical features of covid pathology 🏵,🏵
"@ChocolateQuill COVID fucked EVERY timeline up. Everything feels rushed now, whether it was or wasn't. 😰 (hoping it wasn't)",😰
"@tanyakanrl Dua""nya kak temen saya lagi di luar kota semua, sama takut covid saya🙏",🙏
"A critical 🧵 by @benking01 on pulmonary embolism and oxygen saturation in covid 🔺️ Note how O2 saturation and heart rate can be very erratic in the presence of severe pathology. So many people in #LongCovid have been told drops in O2 are due to ""broken pulse oximeters"" 🧵 https://t.co/mPzMOBG6cn","🧵,🧵"
RT ItsBohlala: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
@CandiceBergenMP Covid just disappeared but the mandates haven’t 🤔,🤔
"“Hoy, somos un referente a nivel mundial 🌎 en el control y lucha contra el COVID-19 😷; Ya no miramos 👀 lo que otros hacen, hoy otros miran 🔍 como lo hacemos nosotros. Y eso, señores y señoras, es liderazgo con sello dominicano 🇩🇴”.- Presidente Luis Abinader","🌎,😷,👀,🔍,🇩🇴"
@35melekyy @Dilegin_hobiler bana bu gece dualarını bekliyorum 🤗🤲🤲 Hastayım covid oldum 🤒,"🤗🤲🤲,🤒"
RT oliveoilpains: That one time my family got covid so i hotboxed my room🤣🤣🤣🤣 cuz they couldnt smell https://t.co/7VnEKQQq2A,🤣🤣🤣🤣
RT __lliizz: That one time my family got covid so i hotboxed my room🤣🤣🤣🤣 cuz they couldnt smell https://t.co/7VnEKQQq2A,🤣🤣🤣🤣
"RT perrogente: #JornadaDeVacunación💉| Si aún no te has vacunado contra la COVID-19 o no tienes las dosis completas, acude al Centro de Salud más cercano. ¡Sabemos cómo hacerlo! ¡Cuidémonos! #PuebloEnCarnavalesFelices https://t.co/O3HKGouURA",💉
"@premini__ Me lo stavo chiedendo anch'io, ho pensato forse ha il covid ed è in quarantena🤔",🤔
RT Drizella111: It was but a mere coincidence there happened to be a virus research lab around the corner. 🙄 New Research Points to Wuhan Market as Pandemic Origin https://t.co/yNghTFEOER,🙄
Got the Covid all clear so we're able to enjoy the sunshine 😎 Still quarantining in dock for the next few days but can start to get set up for the voyage. #science #exploration https://t.co/7URsmVqRqW,😎
RT angelmbdcr: Kulang ang two minutes sa CoVid preparedness measures pa lang. 💕 Ambilis pa magsalita nun! 😃 #IpanaloNa10To #10RobredoForPresident,"💕,😃"
RT certified111988: Sa dami ng covid response ng OVP paano kaya pagkakasyahin ni Busy Presidente Leni Robredo yun? 💗💗💗 #10RobredoPresident #IpanaloNA10To https://t.co/PUjMiX7QIZ,💗💗💗
RT SWEETpotators77: That one time my family got covid so i hotboxed my room🤣🤣🤣🤣 cuz they couldnt smell https://t.co/7VnEKQQq2A,🤣🤣🤣🤣
RT Bruno_silva0320: Já apanhaste COVID!? Me:não 😬 RT - SIM FAV - NÃO,😬
@StraightDrive56 Coach Humara covid ki wajah se team k sath nai hai 😂,😂
"RT jue_hey: @hassinhadi La diversion aura durée que 3 jours 🤣🤣🤣 Pour la suite, les merdias vont retourner au covid ou vont passer directement à l'arnaque climatique? 😅","🤣🤣🤣,😅"
RT magenta_17: @thecoastguy @TheFreds Maybe the return of Covid will have to wait til HIV has had it's turn in Crisis Bingo ?! 😉,😉
RT tracyplantlady: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
covid mohon turun ya saya mau nonton batman di bioskop🥺,🥺
PUCHA! 25 na tao for retdem documentation?😭🤡 ano 'to? walang covid-19? saan ako hahanap ng 25 na tao para sa documentation na yannnn!!!🤡,"😭🤡,🤡"
"RT desur_3raCia: #27Feb 🌞Desde Nuestra hermosa Ciudad Crepuscular el .@GnbMoyetones les desea un Feliz día Domingo lleno de bendiciones, recordando que debemos cumplir Con las medidas de Bioseguridad Para Contrarrestar la Pandemia Covid-19.😷 https://t.co/BPdv08xpBd","🌞,😷"
"Ma a voi non sembra di vivere in un incubo😔Dopo milioni di morti con una crisi sanitaria,umana,psicologica e in Russia il Covid miete come il grano,una super potenza provoca una guerra disumana per difendersi,minacciando una escalation nucleare.Qualcumo gioca alla roulette Russa",😔
@piratebeachbum2 These fucking idiots don’t know that war with Russia is a fucking terrible idea. That said they have to do something since they turned off the Covid light switch. Mid term elections coming up and these Aholes won’t the sheep to forget what they did to them for almost 2 years. 🖕,🖕
RT NicooCancino: 🔴 A la Comunidad usuaria del Hospital de Ancud informamos la compleja situación que vivimos los trabajadores y pacientes con la nueva ola de casos Covid 19. 🏥 #LaSaludDeLosChilotesPeligra #TrabajadoresDelHospitalDeAncudUnidos https://t.co/Bd4vFIIHZH,"🔴,🏥"
"@meganoticiascl @CHVNoticias @T13 Es necesario q dediquen 100% a la guerra? Acabo de leer q la guerra del Covid se llevó 151 personas,otras 100 y eso pasa en Chile,muestren los hospitales las urgencia llenas llamen a ser responsables a nuestra gente. Repiten y repiten videos😠",😠
RT denxygrace19: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
"RT Zoy7a: 🔰 Kapasitas sistem pelayanan kesehatan yang ada, khususnya ketersediaan tempat tidur masih mampu menampung pasien Covid-19 yg masih bertambah. @Suharso_M @Jiwamudaindo https://t.co/zhOOLU0y92",🔰
It's nice to hear nothing about covid and equality 👍 Russia sort of ruined that one for them.,👍
RT sofiathefirst_: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
"Wkwkwk pancet...pola main gak jelas, passing2 sering poll salah, jarak pemain adoh2an wedi karo covid..rafli iki jeblok nemen, pasif, ga golek ruang, bola mandek delay lama..pemain terbaik babak pertama? Pancet.. jayus 👍",👍
@OGlobo_Rio Oba acabou o covid. ✌️✋,✌️✋
"I tg italiani mentono su ogni fatto politico asserviti al solito pensiero unico come x il covid,purtroppo le uniche verità in quanto inutili e superflue sono quelle dei programmi trash...Grande fratello, isola dei famosi 😂 e cagate simili. Ma davvero sono Italiana io??!!🤦🤢🤮","😂,🤦🤢🤮"
El covid la semana que viene:📈📈📈,📈📈📈
"RT GaelleElise: 🗣️: ""La photo de cette femme qui est apparue dans les médias du monde entier au sujet de l'Ukraine a été prise lors d'une explosion de gaz en 2018."" Intéressant de constater que l'affaire ukrainienne est traitée avec les mêmes ressorts de manipulation que l'affaire Covid... https://t.co/cSS7P5z8fu",🗣️
"RT BibiLynch: Sad news just in this morning. We're all with you, John❤️ https://t.co/Fn3GMy13SO",❤️
RT angelmbdcr: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
"RT YOZARY8: #JornadaDeVacunación💉| Si aún no te has vacunado contra la COVID-19 o no tienes las dosis completas, acude al Centro de Salud más cercano. ¡Sabemos cómo hacerlo! ¡Cuidémonos! #PuebloEnCarnavalesFelices https://t.co/O3HKGouURA",💉
RT DeepakSinghjhp: Follow the Covid protocol and always keep your mask on 😷😷✌️ #Unite2FightCorona #COVID19 @MoHFW_INDIA @mygovindia @Jhpiego @usaid_india https://t.co/X4AVNNKFSQ,😷😷✌️
RT _yumadb: I’m ignoring this war the same way I ignored covid 😂,😂
"RT Violetteviole17: Non non tjrs rien à signaler 😡⬇️ Augmentation monstrueuse des cas de péricardite et de myocardite ! 😕 N'oubliez pas que la deuxième barre rouge ne reflète que le mois de janvier et une partie de février, où sera-t-elle en décembre... ? https://t.co/WAKpKPWgv4 https://t.co/vXQ8sPitHj","😡⬇️,😕"
En Aguas Antofagasta recordamos la importancia del lavado de manos para combatir esta pandemia de Covid-19 😷 🧼 💧 Esta simple acción puede salvar tú vida y proteger a tus seres queridos 👨‍👩‍👧‍👦 #LavadoDeManos #Antofagasta https://t.co/Yn2T5x3L9x,"😷,🧼,💧,👨‍👩‍👧‍👦"
RT kwragisen: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
@Adnkronos Ancora con questo covid? Non vi stancate eh 🤡🤡,🤡🤡
"RT BYBYmonica: 🌙 First of all, everyone must have been careful coming here because of COVID, but thank you so much for ending the event like this. I’ll come back again with great performances & music in the future, so please wait a little bit until then.(…) #YOUNGJAE https://t.co/8RLastEHxj",🌙
@YoichiTakahashi 高橋先生 ブースター💉接種後から、いつもの冴えたコメントが拝見できなくてとても寂しいです 先生のお体が心配なので、脳血栓等をお調べになることをおすすめ致します Brain death in a vaccinated patient with COVID-19 infection https://t.co/8NJRgmR6KO,💉
"RT Alejand73242738: #JornadaDeVacunación💉| Si aún no te has vacunado contra la COVID-19 o no tienes las dosis completas, acude al Centro de Salud más cercano. ¡Sabemos cómo hacerlo! ¡Cuidémonos! #PuebloEnCarnavalesFelices https://t.co/O3HKGouURA",💉
"RT JorgePsuvR: #EsNoticia 🗞️ 888 nuevos casos de COVID-19, fueron detectados en las últimas 24 horas por las autoridades sanitarias venezolanas, elevando a 514.315 el total acumulado de contagios confirmados hasta la Fecha. La tasa de recuperados es de 97% #PuebloEnCarnavalesFelices #27Feb https://t.co/85fHwcmq0l",🗞️
What happened to Covid? 🤔,🤔
RT neo1485: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
Follow the Covid protocol and always keep your mask on 😷😷✌️ #Unite2FightCorona #COVID19 @MoHFW_INDIA @mygovindia @Jhpiego @usaid_india https://t.co/X4AVNNKFSQ,😷😷✌️
"RT SimonAttwood: Sad news just in this morning. We're all with you, John❤️ https://t.co/Fn3GMy13SO",❤️
is the covid only attack at night? why the heck the fever came now 😩,😩
RT ckynglad: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
"RT a_brzyska: ‼️Panie @MorawieckiM i Panie @a_niedzielski Polacy🇵🇱 mówią NIE‼️dla obowiązkowych szczepień przeciwko covid dla jakiejkolwiek grupy społecznej i zawodowej‼️ 50% Polaków się nie zaszczepiło,płacą podatki i żądają wycofania się z przymusu szczepień‼️ NATYCHMIAST‼️Wolność wyboru! https://t.co/IenHXVQ9xd","‼️,🇵🇱,‼️,‼️,‼️,‼️"
RT KELanganmoko: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
RT sukanyaryujin: [8:57PM KST] 🐱💭 “Yeah that’s right covid 19 how dare you touch someone like me who has no fear? I’m someone who gets the flu not as often in years” “Hihi so don’t worry about me” “I’ll show you how healthy I am”,🐱💭
RT JMC44USA: Daaaaaaaaumn! Covid dun kicked it up a notch!😆😆😆 https://t.co/6X1KFKKkOV,😆😆😆
@elonmusk #ABIONYX announces that the French Drug Safety Agency (Agence Nationale de Sécurité du Médicament or ANSM) has granted a Compassionate Access Authorization for the bio-HDL (CER-001) in #Covid_19 disease More infos here 👉 https://t.co/Dju0rXQ1Gt https://t.co/EM7zJamCpF,👉
RT MillzBuckz: That one time my family got covid so i hotboxed my room🤣🤣🤣🤣 cuz they couldnt smell https://t.co/7VnEKQQq2A,🤣🤣🤣🤣
"RT BourdrezS: Non non tjrs rien à signaler 😡⬇️ Augmentation monstrueuse des cas de péricardite et de myocardite ! 😕 N'oubliez pas que la deuxième barre rouge ne reflète que le mois de janvier et une partie de février, où sera-t-elle en décembre... ? https://t.co/WAKpKPWgv4 https://t.co/vXQ8sPitHj","😡⬇️,😕"
RT MasterSykil: Y’all remember when COVID first popped off and had mfs scared to cough 🤣 https://t.co/jW8YkrvuHT,🤣
"@PeterSweden7 Well, Pete: - Trump kept spending - Covid supply shortages - It was Trump’s evacuation plan - Trump tried weakening Ukraine & was Putin’s toady. Keep on with your BS🙄",🙄
RT cesargens: ¿Sabías 🤔 que las vacunas contra la COVID-19 🦠 reducen el riesgo de enfermedad grave y mortalidad por ómicron y otras variantes 👍🏽? ✔ Hazlo todo para detener la COVID-19. Vacúnate 🩹 cuando sea tu turno. ➕ INFO 👉🏽 https://t.co/vvRhHK80jJ https://t.co/Z0KJIIDLnA,"🤔,🦠,👍🏽,✔,🩹,➕,👉🏽"
ok i actually cannot do this full dance in one go because i can’t breathe. underestimated covid a bit 😭,😭
"RT SegycontrolI: #JornadaDeVacunación💉| Si aún no te has vacunado contra la COVID-19 o no tienes las dosis completas, acude al Centro de Salud más cercano. ¡Sabemos cómo hacerlo! ¡Cuidémonos! #PuebloEnCarnavalesFelices https://t.co/O3HKGouURA",💉
Quero vê essa galerinha pulando bloquinho de carnaval reclamar de epidemia de covid daqui uns dias e culpando o Presidente @jairbolsonaro . 👍🏼🇧🇷,👍🏼🇧🇷
"@CT24zive Doufam, že covid o vikendu nemaka 😃",😃
RT gnlwrage: That one time my family got covid so i hotboxed my room🤣🤣🤣🤣 cuz they couldnt smell https://t.co/7VnEKQQq2A,🤣🤣🤣🤣
RT Koujoe_: That one time my family got covid so i hotboxed my room🤣🤣🤣🤣 cuz they couldnt smell https://t.co/7VnEKQQq2A,🤣🤣🤣🤣
"RT Alexand60811382: #JornadaDeVacunación💉| Si aún no te has vacunado contra la COVID-19 o no tienes las dosis completas, acude al Centro de Salud más cercano. ¡Sabemos cómo hacerlo! ¡Cuidémonos! #PuebloEnCarnavalesFelices https://t.co/O3HKGouURA",💉
RT orcsaburou: このAZTと「COVID-19ワクチン」が重なって見える。 ここまで記事を転載 しかしHIVもSARS -CoV-2も存在しないのに、それに効くと言われる毒薬は常に存在する😱,😱
RT rdysb: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
"@criscaettano Boa notícia , cuidado com a covid 😷!!",😷
RT kyrusanus: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
"@apoiita Covidi është ne rrethin tonë. Ju lutem vakcionohuni leni kto gjAna. Mos ta humbin fokusin.and yea wear a mask,anti covid 😂",😂
"@palantir135 @BartMaes16 @MarionKoopmans 🤣 OMG 🙈 jij bent oerdom om te denken dat het echt om bescherming tegen virussen gaat!! In mei wordt de Covid overeenkomt getekend met WHO, zij hebben alle macht over ons en maatregelen, dit met hulp van de digitale ID, de coronapas in veelvoud. Je wordt slaaf gemaakt. Wake up!","🤣,🙈"
A covid matou nossa performance de coreos boas no carnaval de rua q ódio 😫😫😫😫😫,😫😫😫😫😫
"RT 1soumimaispas2: Non non tjrs rien à signaler 😡⬇️ Augmentation monstrueuse des cas de péricardite et de myocardite ! 😕 N'oubliez pas que la deuxième barre rouge ne reflète que le mois de janvier et une partie de février, où sera-t-elle en décembre... ? https://t.co/WAKpKPWgv4 https://t.co/vXQ8sPitHj","😡⬇️,😕"
RT sakhwa: That one time my family got covid so i hotboxed my room🤣🤣🤣🤣 cuz they couldnt smell https://t.co/7VnEKQQq2A,🤣🤣🤣🤣
RT dreamersdontdie: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
RT adrianappr: Já apanhaste COVID!? Me:não 😬 RT - SIM FAV - NÃO,😬
"RT madbehe: 🚨 En Allemagne bis, les professeurs allemands ont tous reçu une prime forfaitaire de 1.300€ à cause du covid, la même pour TOUS les échelons. #choyés Ici zob pour les enseignants alors que les niveaux au-dessus ont tous reçu quelque chose, même jusque dans les rectorats ! 🤬🤮","🚨,🤬🤮"
"RT ramses_h: #BaiaBaia 📛 Retrasaron por 45 días la entrega a la Sedena de los ventiladores, vitales para el apoyo a personas con Covid-19, así lo dio a conocer la Auditoría Superior de la Federación. Que paguen. #TeamGatoPolítico https://t.co/EU0v6EnH46",📛
RT _don_gerson: 🔴 A la Comunidad usuaria del Hospital de Ancud informamos la compleja situación que vivimos los trabajadores y pacientes con la nueva ola de casos Covid 19. 🏥 #LaSaludDeLosChilotesPeligra #TrabajadoresDelHospitalDeAncudUnidos https://t.co/Bd4vFIIHZH,"🔴,🏥"
"Jutro wracam do szkoły i ciekawe co mnie pierdolnie: wiatr, covid, bomba czy może moja nauczycielka z matmy 🤡",🤡
RT FcoJavi86879940: Lo que son las guerras. Ya no hay covid ni crisis en el PP. Magia 😅,😅
il va y avoir un cluster de covid_19 dans le meet up de #poupettekenza 🚨 rien ne va plus . Poutine включить ядерный,🚨
RT yahgirlRed: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
